time,time_utc,open,high,low,close,volume,complete
2025-09-03 09:00:00+01:00,2025-09-03 08:00:00+00:00,148.738,148.774,148.565,148.588,14785,True
2025-09-03 10:00:00+01:00,2025-09-03 09:00:00+00:00,148.588,148.711,148.434,148.558,11896,True
2025-09-03 11:00:00+01:00,2025-09-03 10:00:00+00:00,148.558,148.737,148.479,148.695,8670,True
2025-09-03 12:00:00+01:00,2025-09-03 11:00:00+00:00,148.694,148.726,148.596,148.616,12278,True
2025-09-03 13:00:00+01:00,2025-09-03 12:00:00+00:00,148.617,148.8,148.548,148.73,15045,True
2025-09-03 14:00:00+01:00,2025-09-03 13:00:00+00:00,148.729,148.796,148.576,148.642,20701,True
2025-09-03 15:00:00+01:00,2025-09-03 14:00:00+00:00,148.642,148.658,148.076,148.172,27999,True
2025-09-03 16:00:00+01:00,2025-09-03 15:00:00+00:00,148.172,148.202,147.932,147.968,15099,True
2025-09-03 17:00:00+01:00,2025-09-03 16:00:00+00:00,147.969,148.033,147.908,147.942,9588,True
2025-09-03 18:00:00+01:00,2025-09-03 17:00:00+00:00,147.939,148.058,147.882,148.04,8282,True
2025-09-03 19:00:00+01:00,2025-09-03 18:00:00+00:00,148.04,148.072,147.92,147.971,8832,True
2025-09-03 20:00:00+01:00,2025-09-03 19:00:00+00:00,147.972,148.136,147.964,148.136,5748,True
2025-09-03 21:00:00+01:00,2025-09-03 20:00:00+00:00,148.137,148.162,148.084,148.109,4165,True
2025-09-03 22:00:00+01:00,2025-09-03 21:00:00+00:00,148.07,148.11,148.062,148.066,476,True
2025-09-03 23:00:00+01:00,2025-09-03 22:00:00+00:00,148.064,148.15,148.036,148.058,1810,True
2025-09-04 00:00:00+01:00,2025-09-03 23:00:00+00:00,148.06,148.066,147.951,147.978,3876,True
2025-09-04 01:00:00+01:00,2025-09-04 00:00:00+00:00,147.975,148.17,147.906,148.031,14570,True
2025-09-04 02:00:00+01:00,2025-09-04 01:00:00+00:00,148.03,148.112,147.792,148.014,12985,True
2025-09-04 03:00:00+01:00,2025-09-04 02:00:00+00:00,148.013,148.192,148.013,148.136,10075,True
2025-09-04 04:00:00+01:00,2025-09-04 03:00:00+00:00,148.136,148.266,148.119,148.244,7711,True
2025-09-04 05:00:00+01:00,2025-09-04 04:00:00+00:00,148.245,148.286,148.13,148.243,6631,True
2025-09-04 06:00:00+01:00,2025-09-04 05:00:00+00:00,148.242,148.284,148.162,148.228,7450,True
2025-09-04 07:00:00+01:00,2025-09-04 06:00:00+00:00,148.229,148.249,148.133,148.198,10686,True
2025-09-04 08:00:00+01:00,2025-09-04 07:00:00+00:00,148.196,148.416,148.112,148.366,13706,True
2025-09-04 09:00:00+01:00,2025-09-04 08:00:00+00:00,148.368,148.408,148.138,148.217,10527,True
2025-09-04 10:00:00+01:00,2025-09-04 09:00:00+00:00,148.216,148.376,148.17,148.322,8634,True
2025-09-04 11:00:00+01:00,2025-09-04 10:00:00+00:00,148.322,148.339,148.204,148.264,8515,True
2025-09-04 12:00:00+01:00,2025-09-04 11:00:00+00:00,148.264,148.394,148.253,148.345,9100,True
2025-09-04 13:00:00+01:00,2025-09-04 12:00:00+00:00,148.346,148.532,148.022,148.429,21693,True
2025-09-04 14:00:00+01:00,2025-09-04 13:00:00+00:00,148.431,148.53,148.353,148.426,16960,True
2025-09-04 15:00:00+01:00,2025-09-04 14:00:00+00:00,148.452,148.752,148.386,148.741,21879,True
2025-09-04 16:00:00+01:00,2025-09-04 15:00:00+00:00,148.74,148.779,148.628,148.632,11515,True
2025-09-04 17:00:00+01:00,2025-09-04 16:00:00+00:00,148.632,148.744,148.598,148.623,8636,True
2025-09-04 18:00:00+01:00,2025-09-04 17:00:00+00:00,148.622,148.674,148.608,148.646,6122,True
2025-09-04 19:00:00+01:00,2025-09-04 18:00:00+00:00,148.646,148.652,148.54,148.566,6011,True
2025-09-04 20:00:00+01:00,2025-09-04 19:00:00+00:00,148.566,148.568,148.455,148.487,4935,True
2025-09-04 21:00:00+01:00,2025-09-04 20:00:00+00:00,148.488,148.555,148.442,148.464,4390,True
2025-09-04 22:00:00+01:00,2025-09-04 21:00:00+00:00,148.512,148.536,148.384,148.425,752,True
2025-09-04 23:00:00+01:00,2025-09-04 22:00:00+00:00,148.424,148.517,148.416,148.482,1888,True
2025-09-05 00:00:00+01:00,2025-09-04 23:00:00+00:00,148.48,148.509,148.33,148.424,5004,True
2025-09-05 01:00:00+01:00,2025-09-05 00:00:00+00:00,148.423,148.44,148.13,148.174,11800,True
2025-09-05 02:00:00+01:00,2025-09-05 01:00:00+00:00,148.174,148.268,148.091,148.146,9767,True
2025-09-05 03:00:00+01:00,2025-09-05 02:00:00+00:00,148.143,148.182,148.081,148.181,5732,True
2025-09-05 04:00:00+01:00,2025-09-05 03:00:00+00:00,148.18,148.207,148.114,148.176,4652,True
2025-09-05 05:00:00+01:00,2025-09-05 04:00:00+00:00,148.176,148.24,148.168,148.219,4292,True
2025-09-05 06:00:00+01:00,2025-09-05 05:00:00+00:00,148.22,148.22,148.172,148.173,4610,True
